check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-25T06:38:14.121383+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-25T06:38:14.121399+05:30
tls,pass,TLS certificate valid,,2026-09-25T06:38:14.404185+05:30
http,fail,Probe 1: HTTP 403 at https://thjaffna.lk/,https://thjaffna.lk/,2026-09-25T06:38:17.577238+05:30
http,fail,Probe 2: HTTP 403 at http://thjaffna.lk/,http://thjaffna.lk/,2026-09-25T06:38:17.577253+05:30
http,fail,Probe 3: HTTP 403 at https://thjaffna.lk/,https://thjaffna.lk/,2026-09-25T06:38:17.577257+05:30
http,fail,Probe 4: HTTP 403 at http://thjaffna.lk/,http://thjaffna.lk/,2026-09-25T06:38:17.577261+05:30
page_text,fail,Only 130 visible characters across 4 pages; below substance threshold 200,https://thjaffna.lk/,
persistent_http_failure,fail,"Every repeated HTTP probe failed: [403, 403, 403, 403]",,2026-09-25T06:38:17.592543+05:30
