check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-19T06:47:56.550711+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-19T06:47:56.550733+05:30
tls,error,timed out,,2026-09-19T06:48:06.818019+05:30
http,error,Probe 1: timed out,https://www.probation.gov.lk/,2026-09-19T06:50:07.945515+05:30
http,error,Probe 2: timed out,http://www.probation.gov.lk/,2026-09-19T06:50:07.945539+05:30
http,error,Probe 3: timed out,https://www.probation.gov.lk/,2026-09-19T06:50:07.945543+05:30
http,error,Probe 4: timed out,http://www.probation.gov.lk/,2026-09-19T06:50:07.945546+05:30
