check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-21T06:23:53.595086+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-21T06:23:53.595103+05:30
tls,error,timed out,,2026-09-21T06:24:03.858475+05:30
http,error,Probe 1: timed out,https://www.forestdept.gov.lk/,2026-09-21T06:26:05.584566+05:30
http,error,Probe 2: timed out,http://www.forestdept.gov.lk/,2026-09-21T06:26:05.584584+05:30
http,error,Probe 3: timed out,https://www.forestdept.gov.lk/,2026-09-21T06:26:05.584589+05:30
http,error,Probe 4: timed out,http://www.forestdept.gov.lk/,2026-09-21T06:26:05.584592+05:30
