check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-26T06:41:16.343589+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-26T06:41:16.343604+05:30
tls,pass,TLS certificate valid,,2026-09-26T06:41:17.022178+05:30
http,pass,Probe 1: HTTP 200 at https://www.slita.lk/,https://www.slita.lk/,2026-09-26T06:41:22.570689+05:30
http,pass,Probe 2: HTTP 200 at https://www.slita.lk/,http://www.slita.lk/,2026-09-26T06:41:22.570708+05:30
http,pass,Probe 3: HTTP 200 at https://www.slita.lk/,https://www.slita.lk/,2026-09-26T06:41:22.570713+05:30
http,pass,Probe 4: HTTP 200 at https://www.slita.lk/,http://www.slita.lk/,2026-09-26T06:41:22.570721+05:30
page_text,fail,Only 0 visible characters across 4 pages; below substance threshold 200,https://www.slita.lk/,
