check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-24T06:46:14.819358+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-24T06:46:14.819379+05:30
tls,pass,TLS certificate valid,,2026-09-24T06:46:14.840780+05:30
http,fail,Probe 1: HTTP 403 at https://www.jedb.lk/,https://www.jedb.lk/,2026-09-24T06:46:19.870387+05:30
http,fail,Probe 2: HTTP 403 at https://www.jedb.lk/,http://www.jedb.lk/,2026-09-24T06:46:19.870398+05:30
http,fail,Probe 3: HTTP 403 at https://www.jedb.lk/,https://www.jedb.lk/,2026-09-24T06:46:19.870402+05:30
http,fail,Probe 4: HTTP 403 at https://www.jedb.lk/,http://www.jedb.lk/,2026-09-24T06:46:19.870406+05:30
phone,pass,Published phone: 0212574-1.0.1.,https://www.jedb.lk/,
phone,pass,Published phone: 0212574-1.2.1.,https://www.jedb.lk/,
phone,pass,Published phone: 0212576-1.2.1.,https://www.jedb.lk/,
phone,pass,Published phone: 0212576-1.0.1.,https://www.jedb.lk/,
phone,pass,Published phone: 0212577-1.0.1.,https://www.jedb.lk/,
phone,pass,Published phone: 0212577-1.2.1.,https://www.jedb.lk/,
phone,pass,Published phone: 0212579-1.2.1.,https://www.jedb.lk/,
phone,pass,Published phone: 0212579-1.0.1.,https://www.jedb.lk/,
page_text,fail,Only 16 visible characters across 4 pages; below substance threshold 200,https://www.jedb.lk/,
persistent_http_failure,fail,"Every repeated HTTP probe failed: [403, 403, 403, 403]",,2026-09-24T06:46:19.971005+05:30
