check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-22T06:07:54.583097+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-22T06:07:54.583117+05:30
tls,error,[Errno 104] Connection reset by peer,,2026-09-22T06:07:56.241219+05:30
http,error,Probe 1: [Errno 104] Connection reset by peer,https://ccf.gov.lk/,2026-09-22T06:08:11.604168+05:30
http,error,Probe 2: [Errno 104] Connection reset by peer,http://ccf.gov.lk/,2026-09-22T06:08:11.604181+05:30
http,error,Probe 3: [Errno 104] Connection reset by peer,https://ccf.gov.lk/,2026-09-22T06:08:11.604188+05:30
http,error,Probe 4: [Errno 104] Connection reset by peer,http://ccf.gov.lk/,2026-09-22T06:08:11.604193+05:30
