check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-20T07:01:22.297717+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-20T07:01:22.297736+05:30
tls,error,timed out,,2026-09-20T07:01:32.679200+05:30
http,error,Probe 1: timed out,https://www.transport.gov.lk/,2026-09-20T07:03:33.556905+05:30
http,error,Probe 2: timed out,http://www.transport.gov.lk/,2026-09-20T07:03:33.556930+05:30
http,error,Probe 3: timed out,https://www.transport.gov.lk/,2026-09-20T07:03:33.556936+05:30
http,error,Probe 4: timed out,http://www.transport.gov.lk/,2026-09-20T07:03:33.556941+05:30
