check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-20T07:05:46.821596+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-20T07:05:46.821615+05:30
tls,error,timed out,,2026-09-20T07:05:57.047648+05:30
tls_browser_error,fail,"Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.jsc.gov.lk'. (_ssl.c:1010)",https://www.jsc.gov.lk/,2026-09-20T07:06:17.616612+05:30
http,error,Probe 2: [Errno 111] Connection refused,http://www.jsc.gov.lk/,2026-09-20T07:06:17.616634+05:30
http,error,Probe 3: [Errno 111] Connection refused,https://www.jsc.gov.lk/,2026-09-20T07:06:17.616639+05:30
http,error,Probe 4: [Errno 111] Connection refused,http://www.jsc.gov.lk/,2026-09-20T07:06:17.616643+05:30
