check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-22T06:47:03.100019+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-22T06:47:03.100041+05:30
tls,error,timed out,,2026-09-22T06:47:13.370896+05:30
http,error,Probe 1: timed out,https://www.nipo.gov.lk/,2026-09-22T06:49:14.042047+05:30
http,error,Probe 2: timed out,http://www.nipo.gov.lk/,2026-09-22T06:49:14.042072+05:30
http,error,Probe 3: timed out,https://www.nipo.gov.lk/,2026-09-22T06:49:14.042078+05:30
http,error,Probe 4: timed out,http://www.nipo.gov.lk/,2026-09-22T06:49:14.042082+05:30
