check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-21T06:16:45.332840+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-21T06:16:45.332855+05:30
tls,pass,TLS certificate valid,,2026-09-21T06:16:45.984666+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),https://www.ruh.ac.lk/,2026-09-21T06:17:48.412874+05:30
http,error,Probe 2: [Errno 101] Network is unreachable,http://www.ruh.ac.lk/,2026-09-21T06:17:48.412892+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010),https://www.ruh.ac.lk/,2026-09-21T06:17:48.412899+05:30
http,error,Probe 4: [Errno 101] Network is unreachable,http://www.ruh.ac.lk/,2026-09-21T06:17:48.412904+05:30
