check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-21T06:20:02.638563+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-21T06:20:02.638582+05:30
tls,pass,TLS certificate valid,,2026-09-21T06:20:03.376919+05:30
http,pass,Probe 1: HTTP 200 at https://itum.mrt.ac.lk/,https://itum.mrt.ac.lk/,2026-09-21T06:20:38.753174+05:30
http,pass,Probe 2: HTTP 200 at http://itum.mrt.ac.lk/,http://itum.mrt.ac.lk/,2026-09-21T06:20:38.753191+05:30
http,pass,Probe 3: HTTP 200 at https://itum.mrt.ac.lk/,https://itum.mrt.ac.lk/,2026-09-21T06:20:38.753196+05:30
http,pass,Probe 4: HTTP 200 at http://itum.mrt.ac.lk/,http://itum.mrt.ac.lk/,2026-09-21T06:20:38.753199+05:30
http,pass,Probe 5: HTTP 200 at https://itum.mrt.ac.lk/officers-of-the-itum,https://itum.mrt.ac.lk/officers-of-the-itum,2026-09-21T06:20:38.753202+05:30
http,pass,Probe 6: HTTP 200 at https://itum.mrt.ac.lk/heads-of-divisions,https://itum.mrt.ac.lk/heads-of-divisions,2026-09-21T06:20:38.753205+05:30
http,pass,Probe 7: HTTP 200 at https://itum.mrt.ac.lk/research-news,https://itum.mrt.ac.lk/research-news,2026-09-21T06:20:38.753208+05:30
http,pass,Probe 8: HTTP 200 at https://itum.mrt.ac.lk/research/itum-research-grants,https://itum.mrt.ac.lk/research/itum-research-grants,2026-09-21T06:20:38.753210+05:30
http,pass,Probe 9: HTTP 200 at https://itum.mrt.ac.lk/research-gallery,https://itum.mrt.ac.lk/research-gallery,2026-09-21T06:20:38.753213+05:30
http,pass,Probe 10: HTTP 200 at https://itum.mrt.ac.lk/student-counsellors,https://itum.mrt.ac.lk/student-counsellors,2026-09-21T06:20:38.753216+05:30
http,pass,Probe 11: HTTP 200 at https://itum.mrt.ac.lk/events,https://itum.mrt.ac.lk/events,2026-09-21T06:20:38.753218+05:30
http,pass,Probe 12: HTTP 200 at https://itum.mrt.ac.lk/university-life/student-activity,https://itum.mrt.ac.lk/university-life/student-activity,2026-09-21T06:20:38.753221+05:30
http,pass,Probe 13: HTTP 200 at https://itum.mrt.ac.lk/short-courses,https://itum.mrt.ac.lk/short-courses,2026-09-21T06:20:38.753224+05:30
