check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-20T06:53:28.009714+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-20T06:53:28.009737+05:30
tls,error,timed out,,2026-09-20T06:53:38.239661+05:30
http,error,Probe 1: timed out,https://www.roadsafety.gov.lk/,2026-09-20T06:55:39.583696+05:30
http,error,Probe 2: timed out,http://www.roadsafety.gov.lk/,2026-09-20T06:55:39.583712+05:30
http,error,Probe 3: timed out,https://www.roadsafety.gov.lk/,2026-09-20T06:55:39.583715+05:30
http,error,Probe 4: timed out,http://www.roadsafety.gov.lk/,2026-09-20T06:55:39.583718+05:30
