check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-19T06:39:59.995329+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-19T06:39:59.995352+05:30
tls,pass,TLS certificate valid,,2026-09-19T06:40:00.317339+05:30
http,pass,Probe 1: HTTP 200 at https://cda.gov.lk/,https://cda.gov.lk/,2026-09-19T06:40:05.911843+05:30
http,pass,Probe 2: HTTP 200 at http://cda.gov.lk/,http://cda.gov.lk/,2026-09-19T06:40:05.911857+05:30
http,pass,Probe 3: HTTP 200 at https://cda.gov.lk/,https://cda.gov.lk/,2026-09-19T06:40:05.911861+05:30
http,pass,Probe 4: HTTP 200 at http://cda.gov.lk/,http://cda.gov.lk/,2026-09-19T06:40:05.911865+05:30
page_text,fail,Only 29 visible characters across 4 pages; below substance threshold 200,https://cda.gov.lk/,
