check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-23T06:40:08.808482+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-23T06:40:08.808501+05:30
tls,pass,TLS certificate valid,,2026-09-23T06:40:08.910217+05:30
http,fail,Probe 1: HTTP 403 at https://coconutsrilanka.lk/,https://coconutsrilanka.lk/,2026-09-23T06:40:11.969437+05:30
http,fail,Probe 2: HTTP 403 at http://coconutsrilanka.lk/,http://coconutsrilanka.lk/,2026-09-23T06:40:11.969451+05:30
http,fail,Probe 3: HTTP 403 at https://coconutsrilanka.lk/,https://coconutsrilanka.lk/,2026-09-23T06:40:11.969454+05:30
http,fail,Probe 4: HTTP 403 at http://coconutsrilanka.lk/,http://coconutsrilanka.lk/,2026-09-23T06:40:11.969457+05:30
postal_address,pass,Published postal address: is in (8075) from accessing this website. Please see https://developers.cloudflare.com/support/troubleshooting/http-stat,https://coconutsrilanka.lk/,
postal_address,pass,Published postal address: is in (8075) from accessing this website. Please see https://developers.cloudflare.com/support/troubleshooting/http-stat,http://coconutsrilanka.lk/,
postal_address,pass,Published postal address: is in (8075) from accessing this website. Please see https://developers.cloudflare.com/support/troubleshooting/http-stat,https://coconutsrilanka.lk/,
postal_address,pass,Published postal address: is in (8075) from accessing this website. Please see https://developers.cloudflare.com/support/troubleshooting/http-stat,http://coconutsrilanka.lk/,
page_text,pass,Substantive page content: 682 visible characters across 4 pages,https://coconutsrilanka.lk/,
persistent_http_failure,fail,"Every repeated HTTP probe failed: [403, 403, 403, 403]",,2026-09-23T06:40:11.978163+05:30
