check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-21T06:14:55.552126+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-21T06:14:55.552145+05:30
tls,error,timed out,,2026-09-21T06:15:05.796775+05:30
http,error,Probe 1: timed out,https://forms.gov.lk/welcome/public,2026-09-21T06:17:09.243816+05:30
http,error,Probe 2: timed out,http://forms.gov.lk/welcome/public,2026-09-21T06:17:09.243833+05:30
http,error,Probe 3: timed out,https://forms.gov.lk/welcome/public,2026-09-21T06:17:09.243838+05:30
http,error,Probe 4: timed out,http://forms.gov.lk/welcome/public,2026-09-21T06:17:09.243842+05:30
