check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-25T06:39:20.559429+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-25T06:39:20.559450+05:30
tls_hostname,fail,TLS certificate does not match the hostname,,2026-09-25T06:39:21.141824+05:30
tls_browser_error,fail,"Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nihs.gov.lk'. (_ssl.c:1010)",https://nihs.gov.lk/,2026-09-25T06:39:26.660111+05:30
http,pass,Probe 2: HTTP 200 at http://nihs.gov.lk/404.html,http://nihs.gov.lk/,2026-09-25T06:39:26.660124+05:30
tls_browser_error,fail,"Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'nihs.gov.lk'. (_ssl.c:1010)",https://nihs.gov.lk/,2026-09-25T06:39:26.660129+05:30
http,pass,Probe 4: HTTP 200 at http://nihs.gov.lk/404.html,http://nihs.gov.lk/,2026-09-25T06:39:26.660132+05:30
page_text,pass,Substantive page content: 5841 visible characters across 2 pages,https://nihs.gov.lk/,
