check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-18T06:26:54.905670+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-18T06:26:54.905693+05:30
tls,pass,TLS certificate valid,,2026-09-18T06:26:55.389725+05:30
http,fail,Probe 1: HTTP 403 at https://www.boc.lk/,https://www.boc.lk/,2026-09-18T06:27:01.406373+05:30
http,fail,Probe 2: HTTP 403 at https://www.boc.lk/,http://www.boc.lk/,2026-09-18T06:27:01.406393+05:30
http,fail,Probe 3: HTTP 403 at https://www.boc.lk/,https://www.boc.lk/,2026-09-18T06:27:01.406397+05:30
http,fail,Probe 4: HTTP 403 at https://www.boc.lk/,http://www.boc.lk/,2026-09-18T06:27:01.406401+05:30
page_text,pass,Substantive page content: 553 visible characters across 4 pages,https://www.boc.lk/,
persistent_http_failure,fail,"Every repeated HTTP probe failed: [403, 403, 403, 403]",,2026-09-18T06:27:01.416066+05:30
