check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-19T06:08:20.699559+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-19T06:08:20.699579+05:30
tls_expired,fail,TLS certificate has expired,,2026-09-19T06:08:21.462697+05:30
tls_browser_error,fail,Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1010),https://publictrustee.gov.lk/,2026-09-19T06:08:35.318035+05:30
tls_browser_error,fail,Probe 2: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1010),http://publictrustee.gov.lk/,2026-09-19T06:08:35.318054+05:30
tls_browser_error,fail,Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1010),https://publictrustee.gov.lk/,2026-09-19T06:08:35.318058+05:30
tls_browser_error,fail,Probe 4: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1010),http://publictrustee.gov.lk/,2026-09-19T06:08:35.318061+05:30
