check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-19T06:56:43.021755+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-19T06:56:43.021776+05:30
tls,pass,TLS certificate valid,,2026-09-19T06:56:43.063241+05:30
http,fail,Probe 1: HTTP 403 at https://www.supremecourt.lk/,https://www.supremecourt.lk/,2026-09-19T06:56:46.140886+05:30
http,fail,Probe 2: HTTP 403 at http://www.supremecourt.lk/,http://www.supremecourt.lk/,2026-09-19T06:56:46.140918+05:30
http,fail,Probe 3: HTTP 403 at https://www.supremecourt.lk/,https://www.supremecourt.lk/,2026-09-19T06:56:46.140921+05:30
http,fail,Probe 4: HTTP 403 at http://www.supremecourt.lk/,http://www.supremecourt.lk/,2026-09-19T06:56:46.140924+05:30
page_text,pass,Substantive page content: 760 visible characters across 4 pages,https://www.supremecourt.lk/,
persistent_http_failure,fail,"Every repeated HTTP probe failed: [403, 403, 403, 403]",,2026-09-19T06:56:46.151174+05:30
