check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-25T06:52:51.718026+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-25T06:52:51.718036+05:30
tls,pass,TLS certificate valid,,2026-09-25T06:52:54.438414+05:30
http,pass,Probe 1: HTTP 200 at https://condominium.lk/,https://condominium.lk/,2026-09-25T06:53:15.863906+05:30
http,pass,Probe 2: HTTP 200 at http://condominium.lk/,http://condominium.lk/,2026-09-25T06:53:15.863923+05:30
http,pass,Probe 3: HTTP 200 at https://condominium.lk/,https://condominium.lk/,2026-09-25T06:53:15.863928+05:30
http,pass,Probe 4: HTTP 200 at http://condominium.lk/,http://condominium.lk/,2026-09-25T06:53:15.863931+05:30
page_text,fail,Only 44 visible characters across 4 pages; below substance threshold 200,https://condominium.lk/,
