check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-26T06:24:04.093596+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-26T06:24:04.093615+05:30
tls,pass,TLS certificate valid,,2026-09-26T06:24:05.054308+05:30
http,error,Probe 1: More than 10 redirects,https://www.erd.gov.lk/,2026-09-26T06:24:51.545028+05:30
http,error,Probe 2: More than 10 redirects,http://www.erd.gov.lk/,2026-09-26T06:24:51.545047+05:30
http,error,Probe 3: More than 10 redirects,https://www.erd.gov.lk/,2026-09-26T06:24:51.545050+05:30
http,error,Probe 4: More than 10 redirects,http://www.erd.gov.lk/,2026-09-26T06:24:51.545053+05:30
