check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-25T06:56:04.072300+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-25T06:56:04.072320+05:30
tls,error,timed out,,2026-09-25T06:56:14.085066+05:30
http,error,Probe 1: timed out,https://www.probation.gov.lk/,2026-09-25T06:58:15.308835+05:30
http,error,Probe 2: timed out,http://www.probation.gov.lk/,2026-09-25T06:58:15.308857+05:30
http,error,Probe 3: timed out,https://www.probation.gov.lk/,2026-09-25T06:58:15.308862+05:30
http,error,Probe 4: timed out,http://www.probation.gov.lk/,2026-09-25T06:58:15.308867+05:30
