check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-26T06:38:49.729750+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-26T06:38:49.729770+05:30
tls,pass,TLS certificate valid,,2026-09-26T06:38:49.737622+05:30
http,fail,Probe 1: HTTP 403 at https://slnc.lk/,https://slnc.lk/,2026-09-26T06:38:52.755965+05:30
http,fail,Probe 2: HTTP 403 at http://slnc.lk/,http://slnc.lk/,2026-09-26T06:38:52.755991+05:30
http,fail,Probe 3: HTTP 403 at https://slnc.lk/,https://slnc.lk/,2026-09-26T06:38:52.755995+05:30
http,fail,Probe 4: HTTP 403 at http://slnc.lk/,http://slnc.lk/,2026-09-26T06:38:52.755999+05:30
page_text,fail,Only 130 visible characters across 4 pages; below substance threshold 200,https://slnc.lk/,
persistent_http_failure,fail,"Every repeated HTTP probe failed: [403, 403, 403, 403]",,2026-09-26T06:38:52.834003+05:30
