check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-23T06:05:41.002703+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-23T06:05:41.002730+05:30
tls_hostname,fail,TLS certificate does not match the hostname,,2026-09-23T06:05:41.374002+05:30
tls_browser_error,fail,"Probe 1: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'pmb.gov.lk'. (_ssl.c:1010)",https://pmb.gov.lk/,2026-09-23T06:05:47.025304+05:30
http,fail,Probe 2: HTTP 404 at http://pmb.gov.lk/404.html,http://pmb.gov.lk/,2026-09-23T06:05:47.025322+05:30
tls_browser_error,fail,"Probe 3: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'pmb.gov.lk'. (_ssl.c:1010)",https://pmb.gov.lk/,2026-09-23T06:05:47.025325+05:30
http,fail,Probe 4: HTTP 404 at http://pmb.gov.lk/404.html,http://pmb.gov.lk/,2026-09-23T06:05:47.025328+05:30
page_text,fail,Only 0 visible characters across 2 pages; below substance threshold 200,https://pmb.gov.lk/,
